order,window_index,row,col,map_class,lon,lat,stratum,wrong,reference_class
159,15175,118,71,2,36.81268068868372,-2.569707342190023,,,
160,11561,90,41,2,36.80191105765756,-2.5595634369492553,,,
161,13140,102,84,2,36.81736486578205,-2.5639294487876167,,,
162,2035,15,115,0,36.82856415529463,-2.5324872463746577,,,
163,6103,47,87,2,36.81847713028975,-2.5440421271200537,,,
164,15096,117,120,2,36.8303001074272,-2.5693759398619824,,,
165,12493,97,77,4,36.81485098124771,-2.562117028674654,,,
166,7147,55,107,2,36.82566348986286,-2.546947320714883,,,
167,11934,93,30,2,36.79795405082339,-2.5606414612564925,,,
168,9349,73,5,8,36.788977482653856,-2.553393617197598,,,
169,12991,101,63,4,36.809814637139915,-2.563554859847329,,,
170,11744,91,96,2,36.821686375722074,-2.5599589977832227,,,
171,3424,26,96,4,36.821725899894346,-2.5364535609123804,,,
172,8180,63,116,2,36.82889470406079,-2.5498457985867096,,,
173,3217,25,17,2,36.793321676946974,-2.5360435434606146,,,
174,14032,109,80,2,36.815922310647295,-2.566458326070334,,,
175,8082,63,18,8,36.79365787329384,-2.54978554197448,,,
176,3948,30,108,2,36.826038189066125,-2.537907351243394,,,
177,6556,51,28,4,36.79726080684892,-2.5454523409612757,,,
178,2830,22,14,2,36.79224486295092,-2.5349568483075244,,,
179,6125,47,109,2,36.82638746328717,-2.544055554782993,,,
180,13382,104,70,2,36.81232973661056,-2.564644046707199,,,
181,12739,99,67,4,36.81125411889317,-2.5628340944056105,,,
182,14401,112,65,2,36.81052699445137,-2.5675339091179237,,,
183,15463,120,103,2,36.824185600275364,-2.570450351628524,,,
184,9765,76,37,4,36.80048144418901,-2.5544983201265783,,,
185,14510,113,46,2,36.80369467148517,-2.5678837408684734,,,
186,11856,92,80,2,36.815932736964825,-2.5603107755017724,,,
187,3741,29,29,8,36.797633851233414,-2.5374974002293,,,
188,7294,56,126,0,36.832494581873924,-2.547320519852485,,,
189,15030,117,54,2,36.806568707113556,-2.56933518178745,,,
190,9290,72,74,4,36.813787603451146,-2.553074674418275,,,
191,10102,78,118,2,36.82960472829993,-2.555271378049506,,,
192,4831,37,95,4,36.821359677525315,-2.5404307949914555,,,
193,2424,18,120,4,36.83036014459375,-2.533575147290221,,,
194,10897,85,17,4,36.7932847366964,-2.557740455693207,,,
195,6064,47,48,5,36.804454370476144,-2.544018203889884,,,
196,420,3,36,0,36.80016659222319,-2.528099666794473,,,
197,3693,28,109,2,36.826398957293826,-2.537184712464588,,,
198,6280,49,8,8,36.79007095867873,-2.5447167371784305,,,
199,2421,18,117,4,36.82928146619041,-2.533573329963297,,,
200,12427,97,11,8,36.791119961024926,-2.562076097990127,,,
201,10421,81,53,8,36.806231315855655,-2.5563163032147567,,,
202,6249,48,105,2,36.82494861159793,-2.5444147399220878,,,
203,6904,53,120,0,36.8303390159132,-2.54623199559175,,,
204,16242,126,114,2,36.82813718652121,-2.5726268646350183,,,
205,8782,68,78,2,36.8152282916682,-2.5516306513245723,,,
206,10246,80,6,8,36.78933270715593,-2.5559255384568003,,,
207,4269,33,45,8,36.8033842639425,-2.5389537095640033,,,
208,11621,90,101,2,36.82348481129714,-2.5596004459126456,,,
209,265,2,9,6,36.790459364087816,-2.52772147222012,,,
210,15046,117,70,2,36.81232173914005,-2.569345103167638,,,
211,2433,19,1,0,36.78757255300739,-2.5338639824913956,,,
212,9016,70,56,4,36.80731674559886,-2.5523403519157153,,,
213,2181,17,5,0,36.78901197829166,-2.5331432237698577,,,
214,13930,108,106,2,36.825271648066774,-2.5661127254857496,,,
215,6620,51,92,2,36.82027249899683,-2.5454916702516335,,,
216,14497,113,33,4,36.79902036372754,-2.56787565459473,,,
