order,window_index,row,col,map_class,lon,lat,stratum,wrong,reference_class
80,12881,100,81,4,36.81628739798252,-2.563204357280093,0,,
81,6327,49,55,8,36.80697004382304,-2.5447457461760297,0,,
82,4526,35,46,3,36.80374259670292,-2.5396775595592067,0,,
83,14207,110,127,2,36.83282136410535,-2.5668488640256775,0,,
84,9496,74,24,8,36.79580842853552,-2.553767032671389,0,,
85,16014,125,14,4,36.79218125071711,-2.572203182924087,0,,
86,200,1,72,0,36.81311168909099,-2.527398419787793,0,,
87,3524,27,68,5,36.81165769281278,-2.536798097046047,0,,
88,7724,60,44,4,36.80300817931398,-2.5487167700983533,0,,
89,4693,36,85,8,36.817764695795375,-2.5400630709625545,0,,
90,961,7,65,0,36.810591176401694,-2.5295638718270275,0,,
91,5849,45,89,4,36.819197465103564,-2.5433201067796656,0,,
92,3256,25,56,8,36.80734424566486,-2.5360675130068175,0,,
93,5337,41,89,2,36.819199894791446,-2.5418736206560393,0,,
94,12932,101,4,3,36.78860057363889,-2.5635181868239845,0,,
95,11831,92,55,4,36.80694367548124,-2.560295341879768,0,,
96,14986,117,10,2,36.7907479842945,-2.569307763902846,0,,
97,3745,29,33,4,36.79907206308462,-2.537499862255346,0,,
98,121,0,121,2,36.83073052749137,-2.527066514003736,0,,
99,6832,53,48,5,36.80445069769115,-2.5461879115106214,0,,
100,11807,92,31,2,36.79831422770609,-2.560280466081723,0,,
101,15140,118,36,4,36.80009595353069,-2.5696856058869595,0,,
102,292,2,36,0,36.80016720140188,-2.527738049806458,0,,
103,7265,56,97,2,36.82206726478206,-2.5473028365095836,0,,
104,910,7,14,6,36.79225404921601,-2.52953262288814,0,,
105,1902,14,110,0,36.826766964899534,-2.5321225923745674,0,,
106,6051,47,35,8,36.79978014665618,-2.5440101954831005,1,,
107,11523,90,3,8,36.78824784282673,-2.559539809511094,1,,
108,15247,119,15,4,36.792544542370734,-2.5700341192549563,1,,
109,3045,23,101,2,36.8235255064471,-2.535371735440171,1,,
110,12747,99,75,4,36.814130626644754,-2.56283903521663,1,,
111,14646,114,54,2,36.80657055883527,-2.5682503268317642,1,,
112,9632,75,32,4,36.79868427028704,-2.554133607244278,1,,
113,12240,95,80,2,36.81593089884939,-2.5613956374128883,1,,
114,11337,88,73,2,36.813418246693786,-2.558859980327074,1,,
115,397,3,13,6,36.79189694671183,-2.5280855477216897,1,,
116,13205,103,21,8,36.79471183038261,-2.564252020715801,1,,
117,12149,94,117,2,36.8292354295882,-2.5610567488561222,1,,
118,1451,11,43,0,36.80267857903621,-2.530996894146386,1,,
119,14581,113,117,2,36.82922384257291,-2.5679276016073307,1,,
120,3451,26,123,4,36.83143400606497,-2.536469959924324,1,,
121,9307,72,91,2,36.81990015324362,-2.553085113857181,1,,
122,5651,44,19,3,36.79402912000403,-2.5429154694460205,1,,
123,13715,107,19,8,36.79399023212562,-2.5656972355555587,1,,
124,1434,11,26,6,36.796566203950576,-2.530986463363966,1,,
125,15392,120,32,2,36.79865646535636,-2.5704063465782294,1,,
126,4187,32,91,2,36.819924473318245,-2.538620246447204,1,,
127,14610,114,18,4,36.79362632937161,-2.568227918122539,1,,
128,766,5,126,5,36.83252531685889,-2.5288776567314284,1,,
129,9786,76,58,8,36.808032185464285,-2.554511297453286,1,,
130,3207,25,7,0,36.789726167958456,-2.5360373728585763,1,,
131,6845,53,61,8,36.80912494406159,-2.5461959097434406,1,,
132,13887,108,63,4,36.80981032952095,-2.566086193754989,1,,
133,1594,12,58,0,36.80807126435426,-2.5313676926579505,1,,
134,12359,96,71,4,36.81269421395032,-2.5617517060911204,1,,
135,3675,28,91,4,36.81992689770105,-2.537173759514658,1,,
136,13120,102,64,4,36.81017358514581,-2.56391709760701,1,,
137,16372,127,116,4,36.82885571460466,-2.5729897192903777,1,,
138,14109,110,29,8,36.7975839764046,-2.5667883146525154,1,,
139,2674,20,114,4,36.82820158286048,-2.534294759241699,1,,
140,1073,8,49,6,36.80483771941151,-2.529915714357282,1,,
141,2069,16,21,6,36.79476539321922,-2.532791468214583,1,,
142,985,7,89,0,36.81922049114908,-2.5295784872016194,1,,
143,6961,54,49,4,36.80480964224498,-2.5465501453800368,1,,
144,10031,78,47,8,36.804075801298055,-2.555227740941169,1,,
145,362,2,106,8,36.82533596462014,-2.5277806894475745,1,,
146,805,6,37,0,36.80052431531598,-2.529185130682099,1,,
147,2367,18,63,2,36.8098653880729,-2.533540463913804,1,,
148,12883,100,83,2,36.81700652703287,-2.563205590427811,1,,
149,14166,110,86,4,36.818079090275106,-2.5668236507324202,1,,
150,11313,88,49,4,36.804788770905425,-2.558845156648798,1,,
151,1656,12,120,3,36.83036375604719,-2.5314054016001557,1,,
152,8887,69,55,4,36.806957799524916,-2.551978116773659,1,,
153,11982,93,78,4,36.81521299722698,-2.5606711636052037,1,,
154,3139,24,67,4,36.811299961161424,-2.535712626421169,1,,
155,5778,45,18,3,36.79366895198824,-2.543276466680284,1,,
156,7172,56,4,8,36.78862843033567,-2.547245556512452,1,,
