order,window_index,row,col,map_class,lon,lat,stratum,wrong,reference_class
61,150,9,6,0,-77.427591,40.516887,1,,
62,29,1,13,0,-77.038718,41.124583,1,,
63,39,2,7,0,-77.372037,41.048621,1,,
64,237,14,13,0,-77.038718,40.137077,1,,
65,187,11,11,0,-77.149825,40.364963,1,,
66,88,5,8,0,-77.316484,40.820735,1,,
67,114,7,2,1,-77.649803,40.668811,1,,
68,204,12,12,0,-77.094271,40.289001,1,,
69,72,4,8,0,-77.316484,40.896697,2,,
70,153,9,9,0,-77.260931,40.516887,2,,
71,174,10,14,0,-76.983165,40.440925,2,,
72,44,2,12,0,-77.094271,41.048621,2,,
73,45,2,13,0,-77.038718,41.048621,2,,
74,43,2,11,0,-77.149825,41.048621,2,,
75,200,12,8,0,-77.316484,40.289001,2,,
76,203,12,11,0,-77.149825,40.289001,2,,
77,198,12,6,0,-77.427591,40.289001,2,,
78,59,3,11,0,-77.149825,40.972659,2,,
79,57,3,9,0,-77.260931,40.972659,2,,
80,60,3,12,0,-77.094271,40.972659,2,,
81,195,12,3,0,-77.59425,40.289001,2,,
82,186,11,10,0,-77.205378,40.364963,2,,
83,24,1,8,0,-77.316484,41.124583,2,,
84,21,1,5,0,-77.483144,41.124583,2,,
85,69,4,5,0,-77.483144,40.896697,2,,
86,90,5,10,0,-77.205378,40.820735,2,,
87,61,3,13,0,-77.038718,40.972659,2,,
88,98,6,2,0,-77.649803,40.744773,2,,
89,126,7,14,0,-76.983165,40.668811,2,,
90,74,4,10,0,-77.205378,40.896697,2,,
91,28,1,12,0,-77.094271,41.124583,2,,
92,231,14,7,0,-77.372037,40.137077,2,,
93,41,2,9,0,-77.260931,41.048621,2,,
94,235,14,11,0,-77.149825,40.137077,2,,
95,170,10,10,0,-77.205378,40.440925,2,,
96,116,7,4,0,-77.538697,40.668811,2,,
97,140,8,12,0,-77.094271,40.592849,2,,
98,147,9,3,0,-77.59425,40.516887,2,,
99,46,2,14,0,-76.983165,41.048621,2,,
100,67,4,3,0,-77.59425,40.896697,2,,
101,27,1,11,0,-77.149825,41.124583,2,,
102,182,11,6,0,-77.427591,40.364963,2,,
103,20,1,4,0,-77.538697,41.124583,3,,
104,78,4,14,0,-76.983165,40.896697,3,,
105,66,4,2,0,-77.649803,40.896697,3,,
106,188,11,12,0,-77.094271,40.364963,3,,
107,103,6,7,0,-77.372037,40.744773,3,,
108,185,11,9,0,-77.260931,40.364963,3,,
109,166,10,6,0,-77.427591,40.440925,3,,
110,108,6,12,0,-77.094271,40.744773,3,,
111,68,4,4,0,-77.538697,40.896697,3,,
112,158,9,14,0,-76.983165,40.516887,3,,
113,181,11,5,0,-77.483144,40.364963,3,,
114,99,6,3,0,-77.59425,40.744773,3,,
115,157,9,13,0,-77.038718,40.516887,3,,
116,92,5,12,0,-77.094271,40.820735,3,,
117,194,12,2,0,-77.649803,40.289001,3,,
118,50,3,2,0,-77.649803,40.972659,3,,
119,169,10,9,0,-77.260931,40.440925,3,,
120,52,3,4,0,-77.538697,40.972659,3,,
121,101,6,5,0,-77.483144,40.744773,3,,
122,91,5,11,0,-77.149825,40.820735,3,,
123,226,14,2,0,-77.649803,40.137077,3,,
124,152,9,8,0,-77.316484,40.516887,3,,
125,121,7,9,0,-77.260931,40.668811,3,,
126,85,5,5,0,-77.483144,40.820735,3,,
127,56,3,8,0,-77.316484,40.972659,3,,
128,211,13,3,0,-77.59425,40.213039,3,,
129,104,6,8,0,-77.316484,40.744773,3,,
130,34,2,2,0,-77.649803,41.048621,3,,
131,107,6,11,0,-77.149825,40.744773,3,,
132,167,10,7,0,-77.372037,40.440925,3,,
133,102,6,6,0,-77.427591,40.744773,3,,
134,40,2,8,0,-77.316484,41.048621,3,,
135,73,4,9,0,-77.260931,40.896697,3,,
136,196,12,4,0,-77.538697,40.289001,3,,
137,94,5,14,0,-76.983165,40.820735,4,,
138,199,12,7,0,-77.372037,40.289001,4,,
139,136,8,8,0,-77.316484,40.592849,4,,
140,19,1,3,0,-77.59425,41.124583,4,,
141,124,7,12,0,-77.094271,40.668811,4,,
142,149,9,5,0,-77.483144,40.516887,4,,
143,86,5,6,0,-77.427591,40.820735,4,,
144,154,9,10,0,-77.205378,40.516887,4,,
145,93,5,13,0,-77.038718,40.820735,4,,
146,53,3,5,0,-77.483144,40.972659,4,,
147,197,12,5,0,-77.483144,40.289001,4,,
148,115,7,3,0,-77.59425,40.668811,4,,
149,117,7,5,0,-77.483144,40.668811,4,,
150,54,3,6,0,-77.427591,40.972659,4,,
151,168,10,8,0,-77.316484,40.440925,4,,
152,173,10,13,0,-77.038718,40.440925,4,,
153,83,5,3,0,-77.59425,40.820735,4,,
154,119,7,7,0,-77.372037,40.668811,4,,
155,202,12,10,0,-77.205378,40.289001,4,,
156,180,11,4,0,-77.538697,40.364963,4,,
157,165,10,5,0,-77.483144,40.440925,4,,
158,139,8,11,0,-77.149825,40.592849,4,,
159,171,10,11,0,-77.149825,40.440925,4,,
160,120,7,8,0,-77.316484,40.668811,4,,
161,156,9,12,0,-77.094271,40.516887,4,,
162,179,11,3,0,-77.59425,40.364963,4,,
163,118,7,6,0,-77.427591,40.668811,4,,
164,132,8,4,0,-77.538697,40.592849,4,,
165,84,5,4,0,-77.538697,40.820735,4,,
166,35,2,3,0,-77.59425,41.048621,4,,
167,201,12,9,0,-77.260931,40.289001,4,,
168,100,6,4,0,-77.538697,40.744773,4,,
169,229,14,5,0,-77.483144,40.137077,4,,
170,18,1,2,0,-77.649803,41.124583,4,,
171,38,2,6,0,-77.427591,41.048621,4,,
