part,unit,n_windows,n_errors,confidence @0.05,confidence @0.1,confidence @0.2,"boundary, then confidence @0.05","boundary, then confidence @0.1","boundary, then confidence @0.2","NDWI-ambiguous, then boundary, then confidence @0.05","NDWI-ambiguous, then boundary, then confidence @0.1","NDWI-ambiguous, then boundary, then confidence @0.2","NDWI-ambiguous, then confidence @0.05","NDWI-ambiguous, then confidence @0.1","NDWI-ambiguous, then confidence @0.2"
B,54,47,7,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.14285714285714285,0.2857142857142857,0.5714285714285714,0.2857142857142857,0.5714285714285714,0.7142857142857143,0.2857142857142857,0.5714285714285714,0.7142857142857143
B,55,88,12,0.25,0.25,0.5833333333333334,0.25,0.4166666666666667,0.5833333333333334,0.16666666666666666,0.25,0.5,0.16666666666666666,0.25,0.5
B,56,192,27,0.25925925925925924,0.3333333333333333,0.5555555555555556,0.25925925925925924,0.37037037037037035,0.6296296296296297,0.25925925925925924,0.3333333333333333,0.6296296296296297,0.25925925925925924,0.3333333333333333,0.6296296296296297
B,57,225,10,0.7,0.8,0.9,0.7,0.9,0.9,0.7,0.9,0.9,0.7,0.8,0.9
B,58,225,25,0.24,0.48,0.8,0.24,0.48,0.72,0.28,0.44,0.8,0.28,0.44,0.8
B,60,149,19,0.2631578947368421,0.631578947368421,0.8421052631578947,0.2631578947368421,0.5789473684210527,0.7894736842105263,0.2631578947368421,0.5263157894736842,0.7894736842105263,0.2631578947368421,0.5263157894736842,0.7894736842105263
B,61,207,11,0.2727272727272727,0.6363636363636364,0.9090909090909091,0.2727272727272727,0.8181818181818182,1.0,0.45454545454545453,0.8181818181818182,1.0,0.45454545454545453,0.7272727272727273,0.9090909090909091
B,62,108,18,0.2222222222222222,0.3333333333333333,0.5555555555555556,0.2222222222222222,0.3333333333333333,0.5555555555555556,0.2222222222222222,0.3888888888888889,0.5555555555555556,0.2222222222222222,0.3888888888888889,0.5555555555555556
B,63,166,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
B,64,215,9,0.4444444444444444,0.5555555555555556,0.7777777777777778,0.4444444444444444,0.6666666666666666,1.0,0.3333333333333333,0.6666666666666666,1.0,0.3333333333333333,0.6666666666666666,0.7777777777777778
B,65,190,14,0.2857142857142857,0.42857142857142855,0.6428571428571429,0.2857142857142857,0.5,0.5,0.21428571428571427,0.42857142857142855,0.5,0.21428571428571427,0.42857142857142855,0.6428571428571429
B,66,224,20,0.2,0.5,0.8,0.25,0.55,0.9,0.2,0.5,0.9,0.2,0.5,0.8
B,67,173,21,0.14285714285714285,0.38095238095238093,0.5238095238095238,0.14285714285714285,0.42857142857142855,0.6190476190476191,0.23809523809523808,0.3333333333333333,0.6666666666666666,0.23809523809523808,0.3333333333333333,0.6190476190476191
