task,unit,n_windows,n_errors,signal,eaurc,capture@0.05,capture@0.1,capture@0.2
sen1floods11,chip13,256,13,"weighted disagreement (olmoearth_nano, same family)",0.049370435924690356,0.05078125,0.1015625,0.19921875
sen1floods11,chip13,256,13,"weighted disagreement (olmoearth_tiny, same family)",0.049370435924690356,0.05078125,0.1015625,0.19921875
sen1floods11,chip13,256,13,"weighted disagreement (olmoearth_large, same family)",0.049370435924690356,0.05078125,0.1015625,0.19921875
sen1floods11,chip13,256,13,weighted disagreement (galileo_base),0.049370435924690356,0.05078125,0.1015625,0.19921875
sen1floods11,chip13,256,13,weighted disagreement (panopticon),0.049370435924690356,0.05078125,0.1015625,0.19921875
sen1floods11,chip13,256,13,combination conf+weighted disagreement (U+),0.0009257259845818519,0.6153846153846154,0.9230769230769231,1.0
sen1floods11,chip14,256,3,confidence (OlmoEarth),0.005447235401889882,0.0,0.3333333333333333,0.3333333333333333
sen1floods11,chip14,256,3,constant score,0.011626957440902665,0.05078125,0.1015625,0.19921875
sen1floods11,chip14,256,3,disagreement (selected partner),0.011626957440902665,0.05078125,0.1015625,0.19921875
sen1floods11,chip14,256,3,weighted disagreement (selected partner),0.011626957440902665,0.05078125,0.1015625,0.19921875
sen1floods11,chip14,256,3,accuracy-weighted vote (all outside partners),0.011626957440902665,0.05078125,0.1015625,0.19921875
sen1floods11,chip14,256,3,"weighted disagreement (olmoearth_nano, same family)",0.011626957440902665,0.05078125,0.1015625,0.19921875
sen1floods11,chip14,256,3,"weighted disagreement (olmoearth_tiny, same family)",0.011626957440902665,0.05078125,0.1015625,0.19921875
sen1floods11,chip14,256,3,"weighted disagreement (olmoearth_large, same family)",0.011626957440902665,0.05078125,0.1015625,0.19921875
sen1floods11,chip14,256,3,weighted disagreement (galileo_base),0.011626957440902665,0.05078125,0.1015625,0.19921875
sen1floods11,chip14,256,3,weighted disagreement (panopticon),0.011626957440902665,0.05078125,0.1015625,0.19921875
sen1floods11,chip14,256,3,combination conf+weighted disagreement (U+),0.005447235401889882,0.0,0.3333333333333333,0.3333333333333333
sen1floods11,chip15,256,10,confidence (OlmoEarth),0.0028128190180519187,0.7,0.8,0.9
sen1floods11,chip15,256,10,constant score,0.03821323515914219,0.05078125,0.1015625,0.19921875
sen1floods11,chip15,256,10,disagreement (selected partner),0.03821323515914219,0.05078125,0.1015625,0.19921875
