arm,signal,n,n_errors,error_rate_naive,error_rate_weighted,excess_aurc_naive,excess_aurc_weighted,capture_05_naive,capture_10_naive,capture_20_naive,capture_05_weighted,capture_10_weighted,capture_20_weighted
purity_0.25,one_minus_top1,483,217,0.4492753623188406,0.5105675710220602,0.1755980113146529,0.21518387031502284,0.06912442396313365,0.14746543778801843,0.2995391705069124,0.08296034332868903,0.1452582173483747,0.2675763499888808
purity_0.25,entropy,483,217,0.4492753623188406,0.5105675710220602,0.18204652531836302,0.22092006840860035,0.06451612903225806,0.1336405529953917,0.2857142857142857,0.06695277872509298,0.12652642709695594,0.26995544488667683
purity_0.25,boundary_first,483,217,0.4492753623188406,0.5105675710220602,0.18256342093863437,0.2036274925311879,0.059907834101382486,0.1382488479262673,0.28110599078341014,0.04912455285831653,0.12026937074060089,0.262194999638918
purity_0.25,boundary_only,483,217,0.4492753623188406,0.5105675710220602,0.2147394137060128,0.2112952716858636,0.07741935483870968,0.1430414746543779,0.26073599145127896,0.06580719157224835,0.11740003101513757,0.2543057396495872
purity_0.25,ctl_pixel_variance,483,217,0.4492753623188406,0.5105675710220602,0.333910131500729,0.2916999779567966,0.027649769585253458,0.059907834101382486,0.17050691244239632,0.053579845922745985,0.10215169745152348,0.2076352545201131
purity_0.25,ctl_class_rarity,483,217,0.4492753623188406,0.5105675710220602,0.3175549424195184,0.3486801995742907,0.07177174232767919,0.14354348465535838,0.2857142857142857,0.04826966346555878,0.09653932693111757,0.19307865386223513
purity_0.25,ctl_polygon_area,483,217,0.4492753623188406,0.5105675710220602,0.2984401107538149,0.2774476305572006,0.041474654377880185,0.09216589861751152,0.2073732718894009,0.05247020966742751,0.12264637407314131,0.2275326562691661
purity_0.25,ctl_window_impurity,483,217,0.4492753623188406,0.5105675710220602,0.3096961410534565,0.2998735838445173,0.05325140809011777,0.10650281618023553,0.2130450194966324,0.06566243038433402,0.130438346840629,0.2231714192098588
purity_0.50,margin,618,239,0.38673139158576053,0.3729517816480909,0.18125886431719407,0.18039343083586956,0.09205020920502092,0.15481171548117154,0.29707112970711297,0.09907063389474503,0.1577946873617074,0.2764414943011136
purity_0.50,one_minus_top1,618,239,0.38673139158576053,0.3729517816480909,0.1828990690970202,0.19792759353413508,0.09623430962343096,0.17573221757322174,0.3263598326359833,0.09708332762528402,0.1730243696999939,0.3211161848767199
