part,unit,n_patches,n_errors,signal,aurc,capture@0.05,capture_stable@0.05,gain_vs_confidence@0.05,capture@0.1,capture_stable@0.1,gain_vs_confidence@0.1,capture@0.2,capture_stable@0.2,gain_vs_confidence@0.2,W/L@0.05,W/L@0.1,W/L@0.2
B,bolivia/tile33,217,20,confidence (baseline),0.008981764112034973,0.25,,0.0,0.5,,0.0,1.0,,0.0,,,
B,bolivia/tile33,217,20,tile-phase (aligned),0.009849994367214194,0.35,,0.09999999999999998,0.6,,0.09999999999999998,0.95,,-0.050000000000000044,,,
B,bolivia/tile33,217,20,boundary indicator,0.02759482457840905,0.3,,0.04999999999999999,0.445,,-0.05499999999999999,0.7214285714285714,,-0.2785714285714286,,,
B,bolivia/tile33,217,20,control NDWI gradient,0.027348927578160678,0.2,,-0.04999999999999999,0.3,,-0.2,0.5,,-0.5,,,
B,bolivia/tile33,217,20,constant score,0.09216589861751152,0.05069124423963134,,-0.19930875576036866,0.10138248847926268,,-0.3986175115207373,0.19815668202764977,,-0.8018433179723502,,,
B,bolivia/tile33,217,20,control S2 patch variance,0.010552840990672212,0.35,,0.09999999999999998,0.7,,0.19999999999999996,0.85,,-0.15000000000000002,,,
B,bolivia/tile33,217,20,control NDWI level,0.017127417568212774,0.25,,0.0,0.5,,0.0,0.65,,-0.35,,,
B,bolivia/tile34,153,13,confidence (baseline),0.007597834415594395,0.3076923076923077,,0.0,0.6923076923076923,,0.0,1.0,,0.0,,,
B,bolivia/tile34,153,13,tile-phase (aligned),0.009879037163410027,0.3076923076923077,,0.0,0.5384615384615384,,-0.15384615384615385,0.8461538461538461,,-0.15384615384615385,,,
B,bolivia/tile34,153,13,boundary indicator,0.02180048297065505,0.46153846153846156,,0.15384615384615385,0.7019230769230769,,0.009615384615384581,0.8461538461538461,,-0.15384615384615385,,,
B,bolivia/tile34,153,13,control NDWI gradient,0.04128019824287208,0.07692307692307693,,-0.23076923076923078,0.07692307692307693,,-0.6153846153846154,0.15384615384615385,,-0.8461538461538461,,,
B,bolivia/tile34,153,13,constant score,0.08496732026143793,0.05228758169934641,,-0.2554047259929613,0.09803921568627451,,-0.5942684766214178,0.20261437908496732,,-0.7973856209150327,,,
B,bolivia/tile34,153,13,control S2 patch variance,0.011119102500968682,0.3076923076923077,,0.0,0.46153846153846156,,-0.23076923076923073,0.9230769230769231,,-0.07692307692307687,,,
B,bolivia/tile34,153,13,control NDWI level,0.010128185224525296,0.38461538461538464,,0.07692307692307693,0.46153846153846156,,-0.23076923076923073,0.9230769230769231,,-0.07692307692307687,,,
B,bolivia/tile35,148,17,confidence (baseline),0.025714976674823448,0.11764705882352941,,0.0,0.29411764705882354,,0.0,0.5294117647058824,,0.0,,,
B,bolivia/tile35,148,17,tile-phase (aligned),0.01722910840044101,0.23529411764705882,,0.11764705882352941,0.47058823529411764,,0.1764705882352941,0.7647058823529411,,0.23529411764705876,,,
B,bolivia/tile35,148,17,boundary indicator,0.01807423512158416,0.23529411764705882,,0.11764705882352941,0.45701357466063347,,0.16289592760180993,0.7647058823529411,,0.23529411764705876,,,
B,bolivia/tile35,148,17,control NDWI gradient,0.08938466527278525,0.058823529411764705,,-0.058823529411764705,0.17647058823529413,,-0.11764705882352941,0.23529411764705882,,-0.29411764705882354,,,
B,bolivia/tile35,148,17,constant score,0.11486486486486489,0.0472972972972973,,-0.07034976152623211,0.10135135135135136,,-0.19276629570747217,0.20270270270270271,,-0.3267090620031796,,,
B,bolivia/tile35,148,17,control S2 patch variance,0.014616544168817375,0.4117647058823529,,0.2941176470588235,0.7058823529411765,,0.411764705882353,0.8235294117647058,,0.2941176470588235,,,
