part,unit,n_patches,n_errors,signal,aurc,eaurc,mean_value,gain_vs_confidence,gain_vs_tile-phase,gain_vs_boundary,gain_vs_control,identity_max_abs_dp,spearman_vs_confidence,spearman_vs_tile-phase,spearman_vs_boundary,spearman_vs_control,head_acc,n_tiles_scored,W/L_vs_confidence,sign_p_vs_confidence,W/L_vs_tile-phase,sign_p_vs_tile-phase,W/L_vs_boundary,sign_p_vs_boundary,W/L_vs_control,sign_p_vs_control
B,bolivia/tile294,179,25,confidence (baseline),0.03128072042191019,0.020649555737903016,-3.7235458018726475,0.0,0.0017843675762513334,-0.008333779450501962,0.09797199406046149,,,,,,,,,,,,,,,
B,bolivia/tile294,179,25,tile-phase (aligned),0.033065087998161526,0.02243392331415435,0.07746876727119927,-0.0017843675762513334,0.0,-0.010118147026753295,0.09618762648421016,,,,,,,,,,,,,,,
B,bolivia/tile294,179,25,boundary indicator,0.02294694097140823,0.012315776287401055,0.210195530726257,0.008333779450501962,0.010118147026753295,0.0,0.10630577351096346,,,,,,,,,,,,,,,
B,bolivia/tile294,179,25,control NDWI gradient,0.1292527144823717,0.1186215497983645,0.07935128995200014,-0.09797199406046149,-0.09618762648421016,-0.10630577351096346,0.0,,,,,,,,,,,,,,,
B,bolivia/tile294,179,25,constant score,0.13966480446927373,0.12903363978526655,0.0,-0.10838408404736354,-0.1065997164711122,-0.1167178634978655,-0.010412089986902046,,,,,,,,,,,,,,,
B,bolivia/tile294,179,25,control S2 patch variance,0.06607767699118977,0.055446512307182595,61.99079413795554,-0.03479695656927958,-0.033012588993028245,-0.04313073601978154,0.06317503749118192,,,,,,,,,,,,,,,
B,bolivia/tile294,179,25,control NDWI level,0.0479979951336237,0.03736683044961652,-0.19087555913627818,-0.016717274711713505,-0.014932907135462171,-0.025051054162215466,0.08125471934874798,,,,,,,,,,,,,,,
B,bolivia/tile294,179,25,dihedral consistency (8 transforms),0.03252685730198927,0.021895692617982097,0.04998564250907385,-0.001246136880079081,0.0005382306961722524,-0.009579916330581043,0.0967258571803824,,0.9442470654698386,0.8495721130709517,0.7913614923427678,0.3344652982654364,,,,,,,,,,
B,bolivia/tile294,179,25,"boundary first, then confidence",0.029284279304190336,0.01865311462018316,1.6224561053471669,0.0019964411177198563,0.0037808086939711896,-0.006337338332782105,0.09996843517818135,,0.9571087816207399,0.8793421630782754,0.877775621095076,0.33064674743163214,,,,,,,,,,
B,bolivia/tile294,179,25,combination conf+dihedral (prereg),0.030153697498070186,0.01952253281406301,0.5,0.0011270229238400063,0.0029113905000913397,-0.007206756526661955,0.0990990169843015,,,,,,,,,,,,,,,
B,bolivia/tile295,160,7,confidence (baseline),0.003828434920133053,0.0027207060000458425,-5.816836413647979,0.0,0.00028547010392967727,-0.0003320756418802055,0.026034241558388016,,,,,,,,,,,,,,,
B,bolivia/tile295,160,7,tile-phase (aligned),0.00411390502406273,0.0030061761039755198,0.037921826659419365,-0.00028547010392967727,0.0,-0.0006175457458098828,0.02574877145445834,,,,,,,,,,,,,,,
B,bolivia/tile295,160,7,boundary indicator,0.0034963592782528475,0.002388630358165637,0.07734375,0.0003320756418802055,0.0006175457458098828,0.0,0.02636631720026822,,,,,,,,,,,,,,,
B,bolivia/tile295,160,7,control NDWI gradient,0.029862676478521068,0.028754947558433858,0.05164183239369953,-0.026034241558388016,-0.02574877145445834,-0.02636631720026822,0.0,,,,,,,,,,,,,,,
B,bolivia/tile295,160,7,constant score,0.043750000000000004,0.042642271079912794,0.0,-0.03992156507986695,-0.03963609497593727,-0.040253640721747155,-0.013887323521478936,,,,,,,,,,,,,,,
B,bolivia/tile295,160,7,control S2 patch variance,0.0039352552879472515,0.002827526367860041,52.5211020959454,-0.00010682036781419846,0.0001786497361154788,-0.00043889600969440395,0.025927421190573816,,,,,,,,,,,,,,,
B,bolivia/tile295,160,7,control NDWI level,0.006165191196712049,0.005057462276624838,-0.2944784534992639,-0.0023367562765789955,-0.0020512861726493183,-0.002668831918459201,0.023697485281809018,,,,,,,,,,,,,,,
B,bolivia/tile295,160,7,dihedral consistency (8 transforms),0.002723267130109247,0.0016155382100220364,0.020025337818572096,0.0011051677900238061,0.0013906378939534834,0.0007730921481436006,0.02713940934841182,,0.9690818000703156,0.8610043361068793,0.5714754899495518,0.1025166998710887,,,,,,,,,,
B,bolivia/tile295,160,7,"boundary first, then confidence",0.0029344029282071375,0.001826674008119927,0.8743303571428571,0.0008940319919259155,0.0011795020958555928,0.00056195635004571,0.02692827355031393,,0.9394204851752025,0.9115287706551028,0.7344790964246299,0.1577434665416618,,,,,,,,,,
B,bolivia/tile295,160,7,combination conf+dihedral (prereg),0.00304160309053179,0.0019338741704445794,0.5,0.0007868318296012631,0.0010723019335309404,0.0004547561877210576,0.026821073387989277,,,,,,,,,,,,,,,
B,bolivia/tile296,72,8,confidence (baseline),0.013111776212226882,0.005928887201955924,-5.33947448598014,0.0,0.009759002541064172,0.046008299725911035,0.2360272567190197,,,,,,,,,,,,,,,
B,bolivia/tile296,72,8,tile-phase (aligned),0.022870778753291056,0.015687889743020097,0.05827305332028724,-0.009759002541064172,0.0,0.03624929718484686,0.2262682541779555,,,,,,,,,,,,,,,
B,bolivia/tile296,72,8,boundary indicator,0.059120075938137916,0.05193718692786696,0.10416666666666667,-0.046008299725911035,-0.03624929718484686,0.0,0.19001895699310867,,,,,,,,,,,,,,,
B,bolivia/tile296,72,8,control NDWI gradient,0.24913903293124656,0.2419561439209756,0.05483355371858524,-0.2360272567190197,-0.2262682541779555,-0.19001895699310867,0.0,,,,,,,,,,,,,,,
B,bolivia/tile296,72,8,constant score,0.11111111111111113,0.10392822210084017,0.0,-0.09799933489888425,-0.08824033235782007,-0.05199103517297321,0.13802792182013546,,,,,,,,,,,,,,,
B,bolivia/tile296,72,8,control S2 patch variance,0.00988126116877182,0.002698372158500862,85.92304580640457,0.0032305150434550622,0.012989517584519234,0.0492388147693661,0.23925777176247476,,,,,,,,,,,,,,,
B,bolivia/tile296,72,8,control NDWI level,0.008475163479628761,0.001292274469357803,-0.2565655808989906,0.004636612732598121,0.014395615273662295,0.050644912458509155,0.2406638694516178,,,,,,,,,,,,,,,
B,bolivia/tile296,72,8,dihedral consistency (8 transforms),0.011882221233233327,0.004699332222962369,0.023493591704815724,0.0012295549789935554,0.010988557520057729,0.04723785470490459,0.23725681169801324,,0.9468776127082126,0.7925268506013251,0.4908098807302861,0.19801916521962828,,,,,,,,,,
B,bolivia/tile296,72,8,"boundary first, then confidence",0.0218487904979108,0.01466590148763984,1.0775669642857144,-0.008737014285683915,0.0010219882553802566,0.03727128544022712,0.2272902424333358,,0.8065148884172612,0.8133320470769821,0.8431725481632291,0.24191266319377444,,,,,,,,,,
B,bolivia/tile296,72,8,combination conf+dihedral (prereg),0.011982111457964906,0.004799222447693948,0.5,0.0011296647542619765,0.01088866729532615,0.04713796448017301,0.23715692147328166,,,,,,,,,,,,,,,
B,bolivia/tile297,84,3,confidence (baseline),0.10210047410487225,0.10124326228097137,-3.6592965644030344,0.0,-0.00351612610315144,-0.0763956082848748,0.006251883664858335,,,,,,,,,,,,,,,
B,bolivia/tile297,84,3,tile-phase (aligned),0.0985843480017208,0.09772713617781993,0.03091509621507222,0.00351612610315144,0.0,-0.07287948218172335,0.009768009768009775,,,,,,,,,,,,,,,
B,bolivia/tile297,84,3,boundary indicator,0.025704865819997463,0.024847653996096584,0.020833333333333332,0.0763956082848748,0.07287948218172335,0.0,0.08264749194973312,,,,,,,,,,,,,,,
B,bolivia/tile297,84,3,control NDWI gradient,0.10835235776973058,0.1074951459458297,0.025474701396760585,-0.006251883664858335,-0.009768009768009775,-0.08264749194973312,0.0,,,,,,,,,,,,,,,
B,bolivia/tile297,84,3,constant score,0.035714285714285705,0.034857073890384824,0.0,0.06638618839058655,0.06287006228743511,-0.01000941989428824,0.07263807205544488,,,,,,,,,,,,,,,
B,bolivia/tile297,84,3,control S2 patch variance,0.0008572118239008798,0.0,29.651062254957743,0.10124326228097137,0.09772713617781993,0.024847653996096584,0.1074951459458297,,,,,,,,,,,,,,,
B,bolivia/tile297,84,3,control NDWI level,0.0008572118239008798,0.0,-0.3162997424281462,0.10124326228097137,0.09772713617781993,0.024847653996096584,0.1074951459458297,,,,,,,,,,,,,,,
B,bolivia/tile297,84,3,dihedral consistency (8 transforms),0.07757951081350237,0.07672229898960149,0.02307568859915981,0.02452096329136988,0.02100483718821844,-0.05187464499350491,0.030772846956228214,,0.7801154196618406,0.8227801964159163,0.31338895530790467,0.4289359117140834,,,,,,,,,,
B,bolivia/tile297,84,3,"boundary first, then confidence",0.10166489084612641,0.10080767902222554,0.6295705782312926,0.0004355832587458336,-0.0030805428444056066,-0.07596002502612895,0.006687466923604168,,0.9829907866761163,0.8191758631163308,0.44627312883209563,0.31791029664878,,,,,,,,,,
B,bolivia/tile297,84,3,combination conf+dihedral (prereg),0.08946608531202954,0.08860887348812867,0.5,0.012634388792842705,0.009118262689691264,-0.06376121949203209,0.01888627245770104,,,,,,,,,,,,,,,
B,bolivia/tile298,158,28,confidence (baseline),0.03786708858316393,0.020585286081242767,-4.099725382991984,0.0,0.020287261470096216,0.08438356600693755,0.007230245848379724,,,,,,,,,,,,,,,
B,bolivia/tile298,158,28,tile-phase (aligned),0.05815435005326014,0.040872547551338984,0.08588712416899455,-0.020287261470096216,0.0,0.06409630453684134,-0.013057015621716492,,,,,,,,,,,,,,,
B,bolivia/tile298,158,28,boundary indicator,0.12225065459010148,0.10496885208818033,0.1906645569620253,-0.08438356600693755,-0.06409630453684134,0.0,-0.07715332015855783,,,,,,,,,,,,,,,
B,bolivia/tile298,158,28,control NDWI gradient,0.04509733443154365,0.02781553192962249,0.09737301042356006,-0.007230245848379724,0.013057015621716492,0.07715332015855783,0.0,,,,,,,,,,,,,,,
B,bolivia/tile298,158,28,constant score,0.1772151898734177,0.15993338737149654,0.0,-0.13934810129025377,-0.11906083982015755,-0.05496453528331621,-0.13211785544187404,,,,,,,,,,,,,,,
B,bolivia/tile298,158,28,control S2 patch variance,0.12549642165099859,0.10821461914907743,123.7242607477122,-0.08762933306783466,-0.06734207159773845,-0.0032457670608971034,-0.08039908721945493,,,,,,,,,,,,,,,
B,bolivia/tile298,158,28,control NDWI level,0.032658878065442216,0.015377075563521057,-0.2500259128605659,0.0052082105177217106,0.025495471987817927,0.08959177652465927,0.012438456366101434,,,,,,,,,,,,,,,
B,bolivia/tile298,158,28,dihedral consistency (8 transforms),0.04068651369687069,0.023404711194949527,0.03955137567510651,-0.0028194251137067597,0.017467836356389457,0.0815641408932308,0.004410820734672964,,0.9569398152303386,0.82238624556749,0.5369195661096005,0.7227664031374034,,,,,,,,,,
B,bolivia/tile298,158,28,"boundary first, then confidence",0.06868478194579326,0.05140297944387211,1.6583126130198913,-0.03081769336262934,-0.010530431892533124,0.05356587264430822,-0.023587447514249616,,0.8193194281967687,0.879727819958348,0.857113073877913,0.6053176422624467,,,,,,,,,,
B,bolivia/tile298,158,28,combination conf+dihedral (prereg),0.038477261705061154,0.021195459203139994,0.5,-0.000610173121897227,0.01967708834819899,0.08377339288504033,0.006620072726482497,,,,,,,,,,,,,,,
B,bolivia/tile299,225,14,confidence (baseline),0.010441044707641822,0.00832573452975447,-5.90431625061565,0.0,-0.0003570224047852351,-0.0048426070587809945,0.004043832143794796,,,,,,,,,,,,,,,
B,bolivia/tile299,225,14,tile-phase (aligned),0.010084022302856587,0.007968712124969236,0.055377287361512165,0.0003570224047852351,0.0,-0.004485584653995759,0.004400854548580031,,,,,,,,,,,,,,,
B,bolivia/tile299,225,14,boundary indicator,0.0055984376488608266,0.0034831274709734763,0.13444444444444445,0.0048426070587809945,0.004485584653995759,0.0,0.00888643920257579,,,,,,,,,,,,,,,
