part,unit,n_patches,n_errors,signal,aurc,eaurc,mean_value,head_acc,n_tiles_scored,gain_vs_confidence,gain_vs_tile-phase,gain_vs_boundary,gain_vs_control,W/L_vs_confidence,sign_p_vs_confidence,spearman_vs_confidence,W/L_vs_tile-phase,sign_p_vs_tile-phase,spearman_vs_tile-phase,W/L_vs_boundary,sign_p_vs_boundary,spearman_vs_boundary,W/L_vs_control,sign_p_vs_control,spearman_vs_control
B,test/tile341,204,130,control S2 patch variance,0.7017990692200127,0.43083050609312623,41.156886257615405,,,-0.14274816736275442,-0.07509459563681264,0.048462894425184144,-0.01960581313414178,,,,,,,,,,,,
B,test/tile341,204,130,control NDWI level,0.4569286873144197,0.18596012418753327,-0.056055608041314944,,,0.10212221454283854,0.16977578626878032,0.2933332763307771,0.22526456877145118,,,,,,,,,,,,
B,test/tile341,204,130,contradiction (pixel-statistics neighbours),0.5596719995163626,0.28870343638947615,0.20557598039215685,,,-0.0006210976591043416,0.06703247406683743,0.19058996412883422,0.1225212565695083,,,0.38668286313395633,,,0.28844531404380674,,,0.33098712667568403,,,-0.07789166098908284
B,test/tile341,204,130,contradiction (OlmoEarth neighbours),0.47869903874515585,0.2077304756182694,0.22181372549019607,,,0.0803518631121024,0.14800543483804418,0.27156292490004097,0.20349421734071504,,,0.5265317155524719,,,0.4812408598122515,,,0.2832987090190052,,,0.1980440059309168
B,test/tile341,204,130,combination conf+pixel contradiction (secondary),0.5333609039431676,0.26239234081628116,0.5,,,0.025689997914090656,0.09334356964003243,0.21690105970202922,0.1488323521427033,,,0.8363861371419522,,,0.6390176277403872,,,0.5289764428580851,,,0.18246287816124188
B,test/tile347,225,17,confidence (baseline),0.005109166671795712,0.0020124713687384764,-4.686502834955851,,,0.0,0.0036766896803710957,0.007522415390306948,0.016989547909838715,,,,,,,,,,,,
B,test/tile347,225,17,tile-phase (aligned),0.008785856352166808,0.005689161049109572,0.05823492489646014,,,-0.0036766896803710957,0.0,0.0038457257099358527,0.013312858229467619,,,,,,,,,,,,
B,test/tile347,225,17,boundary indicator,0.01263158206210266,0.009534886759045425,0.13555555555555557,,,-0.007522415390306948,-0.0038457257099358527,0.0,0.009467132519531766,,,,,,,,,,,,
B,test/tile347,225,17,control NDWI gradient,0.022098714581634427,0.01900201927857719,0.02137697156245411,,,-0.016989547909838715,-0.013312858229467619,-0.009467132519531766,0.0,,,,,,,,,,,,
B,test/tile347,225,17,constant score,0.07555555555555556,0.07245886025249831,0.0,,,-0.07044638888375984,-0.06676969920338874,-0.06292397349345288,-0.05345684097392112,,,,,,,,,,,,
B,test/tile347,225,17,control S2 patch variance,0.01582299473186005,0.012726299428802816,71.20893523069714,,,-0.01071382806006434,-0.007037138379693244,-0.0031914126697573913,0.006275719849774375,,,,,,,,,,,,
B,test/tile347,225,17,control NDWI level,0.03720916590246038,0.034112470599403144,-0.10712155709074761,,,-0.032099999230664665,-0.028423309550293572,-0.02457758384035772,-0.015110451320825953,,,,,,,,,,,,
B,test/tile347,225,17,contradiction (pixel-statistics neighbours),0.014475567351909555,0.01137887204885232,0.165,,,-0.009366400680113844,-0.0056897109997427475,-0.0018439852898068949,0.007623147229724871,,,0.668311525824382,,,0.5765111459988288,,,0.38061656910662933,,,0.46244055089473163
B,test/tile347,225,17,contradiction (OlmoEarth neighbours),0.015092430818747806,0.01199573551569057,0.10319444444444445,,,-0.009983264146952095,-0.006306574466580998,-0.0024608487566451457,0.0070062837628866205,,,0.5751914423695066,,,0.49407702026139905,,,0.3487885061325473,,,0.5477476093360348
B,test/tile347,225,17,combination conf+pixel contradiction (secondary),0.006855177109018051,0.0037584818059608156,0.5,,,-0.0017460104372223392,0.0019306792431487566,0.005776404953084609,0.015243537472616375,,,0.9266013992388734,,,0.8025576348890568,,,0.5780948551016822,,,0.6355133245513845
B,test/tile349,225,17,confidence (baseline),0.00872526542747056,0.0056285701244133245,-5.144495340718163,,,0.0,-0.0007100592331023697,0.01826976276540098,0.015081970779074772,,,,,,,,,,,,
B,test/tile349,225,17,tile-phase (aligned),0.00801520619436819,0.004918510891310955,0.04640236817626929,,,0.0007100592331023697,0.0,0.01897982199850335,0.01579203001217714,,,,,,,,,,,,
B,test/tile349,225,17,boundary indicator,0.02699502819287154,0.023898332889814303,0.06111111111111111,,,-0.01826976276540098,-0.01897982199850335,0.0,-0.003187791986326207,,,,,,,,,,,,
B,test/tile349,225,17,control NDWI gradient,0.023807236206545332,0.020710540903488096,0.05713673339817206,,,-0.015081970779074772,-0.01579203001217714,0.003187791986326207,0.0,,,,,,,,,,,,
B,test/tile349,225,17,constant score,0.07555555555555556,0.07245886025249831,0.0,,,-0.06683029012808499,-0.06754034936118736,-0.048560527362684014,-0.05174831934901022,,,,,,,,,,,,
B,test/tile349,225,17,control S2 patch variance,0.04732941112005013,0.044232715816992896,129.42358633295808,,,-0.03860414569257957,-0.03931420492568194,-0.020334382927178592,-0.0235221749135048,,,,,,,,,,,,
B,test/tile349,225,17,control NDWI level,0.01794908278469033,0.014852387481633096,-0.3959049360517702,,,-0.009223817357219772,-0.009933876590322141,0.009045945408181207,0.005858153421855,,,,,,,,,,,,
B,test/tile349,225,17,contradiction (pixel-statistics neighbours),0.0413032625612109,0.03820656725815366,0.04722222222222222,,,-0.032577997133740336,-0.033288056366842705,-0.014308234368339359,-0.017496026354665566,,,0.4419840136668412,,,0.41943147351382165,,,0.3497268979917244,,,0.32608477738675906
B,test/tile349,225,17,contradiction (OlmoEarth neighbours),0.026280561522673038,0.023183866219615802,0.14055555555555554,,,-0.017555296095202476,-0.018265355328304846,0.0007144666701985013,-0.002473325316127706,,,0.7980290198365557,,,0.6883124673150607,,,0.31387662906971864,,,0.33129786113153353
B,test/tile349,225,17,combination conf+pixel contradiction (secondary),0.009866743879774181,0.006770048576716946,0.49999999999999994,,,-0.0011414784523036212,-0.001851537685405991,0.017128284313097358,0.01394049232677115,,,0.9873116801811552,,,0.8661517241234302,,,0.40032672723275103,,,0.57986372204588
B,test/tile351,203,21,confidence (baseline),0.021266945779702975,0.015467127218552732,-3.5369586084276583,,,0.0,0.0017551310503134306,0.020022288210630217,0.02811830978338088,,,,,,,,,,,,
B,test/tile351,203,21,tile-phase (aligned),0.023022076830016405,0.017222258268866163,0.0852653877315022,,,-0.0017551310503134306,0.0,0.018267157160316787,0.026363178733067448,,,,,,,,,,,,
B,test/tile351,203,21,boundary indicator,0.04128923399033319,0.03548941542918295,0.19889162561576354,,,-0.020022288210630217,-0.018267157160316787,0.0,0.008096021572750661,,,,,,,,,,,,
B,test/tile351,203,21,control NDWI gradient,0.04938525556308385,0.04358543700193361,0.06918128688898718,,,-0.02811830978338088,-0.026363178733067448,-0.008096021572750661,0.0,,,,,,,,,,,,
B,test/tile351,203,21,constant score,0.10344827586206896,0.09764845730091873,0.0,,,-0.082181330082366,-0.08042619903205256,-0.06215904187173578,-0.05406302029898512,,,,,,,,,,,,
B,test/tile351,203,21,control S2 patch variance,0.08254796631259605,0.07674814775144581,91.04096070296805,,,-0.06128102053289308,-0.05952588948257965,-0.04125873232226286,-0.0331627107495122,,,,,,,,,,,,
