part,unit,n_patches,n_errors,signal,aurc,eaurc,mean_value,gain_vs_confidence,gain_vs_tile-phase,gain_vs_boundary,gain_vs_control,spearman_vs_confidence,spearman_vs_tile-phase,spearman_vs_boundary,spearman_vs_control,head_acc,n_tiles_scored,W/L_vs_confidence,sign_p_vs_confidence,W/L_vs_tile-phase,sign_p_vs_tile-phase,W/L_vs_boundary,sign_p_vs_boundary,W/L_vs_control,sign_p_vs_control
B,bolivia/tile239,225,3,control NDWI level,0.0027404883298801806,0.002621616286792891,-0.36572481558273445,-0.0016253371791197127,-0.001996616704392758,0.010592845003453154,-0.002621616286792891,,,,,,,,,,,,,,
B,bolivia/tile239,225,3,discrete predictive entropy (k-means),0.00021897620564199306,0.00010010416255470334,1.6528914623790316,0.0008961749451184748,0.0005248954198454293,0.013114357127691342,-0.00010010416255470334,-0.233826380109566,-0.12453013063632533,-0.04005372945638433,0.08042456805731142,,,,,,,,,,
B,bolivia/tile239,225,3,discrete target NLL (k-means),0.002593881273970325,0.002475009230883035,1.466972981525792,-0.001478730123209857,-0.0018500096484829025,0.01073945205936301,-0.002475009230883035,-0.19556257901390647,-0.06826169405815424,-0.0029804045512010118,0.08070796460176992,,,,,,,,,,
B,bolivia/tile239,225,3,"gap-masked residual (3x3 hole, centre)",0.00032324996382047944,0.00020437792073318972,0.47084710114532047,0.0007919011869399885,0.00042062166166694295,0.013010083369512855,-0.00020437792073318972,0.13424357353560892,0.27912136536030346,-0.2268879056047198,0.45763590391908976,,,,,,,,,,
B,bolivia/tile239,225,3,residual along the decision direction,0.004297320315281299,0.004178448272194009,0.13314253360446957,-0.003182169164520831,-0.0035534486897938764,0.009036013018052035,-0.004178448272194009,0.06196797302991995,0.14373893805309737,-0.1651211546565529,0.18008533501896337,,,,,,,,,,
B,bolivia/tile239,225,3,whitened residual (exp33 form),0.002774038080846365,0.0026551660377590754,0.31415341605742775,-0.0016588869300858972,-0.0020301664553589427,0.010559295252486969,-0.0026551660377590754,0.1648493468183734,0.23875052675937636,-0.15162873999157186,0.5177054361567637,,,,,,,,,,
B,bolivia/tile239,225,3,combination conf+entropy (prereg),0.00011887204308728971,0.0,0.5,0.0009962791076731782,0.0006249995824001327,0.013214461290246044,0.0,,,,,,,,,,,,,,
B,bolivia/tile240,135,33,confidence (baseline),0.1229325467856581,0.08936905655865385,-1.9968831850422752,0.0,-0.013267904786215215,0.0444620849018981,0.08583359944245858,,,,,,,,,,,,,,
B,bolivia/tile240,135,33,tile-phase (aligned),0.10966464199944288,0.07610115177243863,0.07830702542430824,0.013267904786215215,0.0,0.05772998968811331,0.0991015042286738,,,,,,,,,,,,,,
B,bolivia/tile240,135,33,boundary indicator,0.1673946316875562,0.13383114146055194,0.1814814814814815,-0.0444620849018981,-0.05772998968811331,0.0,0.04137151454056048,,,,,,,,,,,,,,
B,bolivia/tile240,135,33,control NDWI gradient,0.20876614622811668,0.17520265600111243,0.0408541266598679,-0.08583359944245858,-0.0991015042286738,-0.04137151454056048,0.0,,,,,,,,,,,,,,
B,bolivia/tile240,135,33,constant score,0.24444444444444444,0.2108809542174402,0.0,-0.12151189765878634,-0.13477980244500154,-0.07704981275688824,-0.03567829821632776,,,,,,,,,,,,,,
B,bolivia/tile240,135,33,control S2 patch variance,0.3131307702564361,0.2795672800294319,89.80416685898149,-0.19019822347077803,-0.20346612825699323,-0.14573613856887993,-0.10436462402831945,,,,,,,,,,,,,,
B,bolivia/tile240,135,33,control NDWI level,0.09005091413623369,0.05648742390922944,-0.24314063650702297,0.03288163264942441,0.019613727863209196,0.07734371755132251,0.11871523209188299,,,,,,,,,,,,,,
B,bolivia/tile240,135,33,discrete predictive entropy (k-means),0.3537151326547824,0.32015164242777816,1.7856339757089261,-0.2307825858691243,-0.2440504906553395,-0.18632050096722622,-0.14494898642666573,-0.4652131499365916,-0.3711247683152863,-0.5905960394107892,0.12024192761681787,,,,,,,,,,
B,bolivia/tile240,135,33,discrete target NLL (k-means),0.32891738612329213,0.2953538958962879,1.5158253209458457,-0.20598483933763406,-0.21925274412384926,-0.16152275443573597,-0.12015123989517548,-0.1730367768998147,-0.16837869476148667,-0.3515364354697103,-0.03693298214808312,,,,,,,,,,
B,bolivia/tile240,135,33,"gap-masked residual (3x3 hole, centre)",0.23437496934331672,0.20081147911631247,0.4845065045135993,-0.11144242255765863,-0.12471032734387384,-0.06698033765576053,-0.025608823115200047,-0.2929128865476539,-0.0707979709296654,-0.19160081943225052,0.321593015315579,,,,,,,,,,
B,bolivia/tile240,135,33,residual along the decision direction,0.27997188077952706,0.2464083905525228,0.11767024702771946,-0.15703933399386896,-0.1703072387800842,-0.11257724909197087,-0.07120573455141038,0.08691834942932397,-0.001102331479855624,-0.012515852111989075,-0.17716320358989368,,,,,,,,,,
B,bolivia/tile240,135,33,whitened residual (exp33 form),0.18712430936611618,0.15356081913911193,0.3445619104085145,-0.06419176258045808,-0.0774596673666733,-0.019729677678559987,0.021641836862000496,-0.09748804994634672,-0.007238318212857283,-0.137825577992391,0.41578382596819824,,,,,,,,,,
B,bolivia/tile240,135,33,combination conf+entropy (prereg),0.20259657795409075,0.1690330877270865,0.5,-0.07966403116843265,-0.09293193595464787,-0.035201946266534556,0.006169568274025927,,,,,,,,,,,,,,
B,bolivia/tile241,149,15,confidence (baseline),0.06368509520367018,0.058101572665434205,-4.247255767151813,0.0,-0.020267156906973033,0.0006487000453108127,-0.04517667161365813,,,,,,,,,,,,,,
B,bolivia/tile241,149,15,tile-phase (aligned),0.04341793829669714,0.03783441575846117,0.03423455643071871,0.020267156906973033,0.0,0.020915856952283846,-0.0249095147066851,,,,,,,,,,,,,,
B,bolivia/tile241,149,15,boundary indicator,0.06433379524898099,0.05875027271074502,0.05956375838926174,-0.0006487000453108127,-0.020915856952283846,0.0,-0.045825371658968946,,,,,,,,,,,,,,
B,bolivia/tile241,149,15,control NDWI gradient,0.018508423590012042,0.012924901051776074,0.032202648948025714,0.04517667161365813,0.0249095147066851,0.045825371658968946,0.0,,,,,,,,,,,,,,
B,bolivia/tile241,149,15,constant score,0.1006711409395973,0.09508761840136133,0.0,-0.03698604573592713,-0.05725320264290016,-0.036337345690616314,-0.08216271734958526,,,,,,,,,,,,,,
B,bolivia/tile241,149,15,control S2 patch variance,0.060740726433532205,0.055157203895296235,82.27796198614787,0.00294436877013797,-0.017322788136835063,0.0035930688154487828,-0.04223230284352016,,,,,,,,,,,,,,
B,bolivia/tile241,149,15,control NDWI level,0.0520598402409779,0.04647631770274193,-0.2796312197263729,0.011625254962692275,-0.008641901944280758,0.012273955008003087,-0.03355141665096586,,,,,,,,,,,,,,
B,bolivia/tile241,149,15,discrete predictive entropy (k-means),0.03884768427378074,0.03326416173554477,2.0061676536230433,0.024837410929889434,0.004570254022916401,0.025486110975200246,-0.0203392606837687,0.15219299836749503,0.2896063849083983,0.12747324505713767,0.7451296934518411,,,,,,,,,,
B,bolivia/tile241,149,15,discrete target NLL (k-means),0.03262396615484749,0.027040443616611523,1.7066131276672318,0.031061129048822682,0.010793972141849649,0.031709829094133495,-0.01411554256483545,0.09120986758570651,0.20846000362778888,0.05746780337384365,0.7068674043170687,,,,,,,,,,
B,bolivia/tile241,149,15,"gap-masked residual (3x3 hole, centre)",0.03858400734310431,0.03300048480486834,0.5260096032347455,0.025101087860565863,0.00483393095359283,0.025749787905876675,-0.02007558375309227,0.2981461998911663,0.39916923635044443,0.14137855976782152,0.6916415744603664,,,,,,,,,,
