window,map,axis,hypothesis,predicted_period_px,fundamental_whitened_power,p_fundamental,n_harmonics,comb_whitened_power,p_comb,n_strips
sesheke,class_boundary,row,window 128 px,140.50647513782607,0.6157800022671053,0.5402193586064493,3,1.1844563175195149,0.3110889102534706,1
sesheke,class_boundary,row,window 256 px,281.01295027565214,0.7925341855718497,0.45269612443757257,3,0.6232041845213447,0.7119168326058487,1
sesheke,class_boundary,row,window 512 px,562.0259005513043,0.7796245815986538,0.45857813766483524,3,0.6081539062960711,0.7240621154287402,1
sesheke,class_boundary,row,warp duplication beat,11.234698313424984,0.6931471805599453,0.5000000000000001,3,1.6404673188575354,0.13142989376728334,1
sesheke,change_gradient,col,encoder patch 4 px,4.390827348057065,261.1848221581003,3.705723229051217e-114,1,261.1848221581003,3.705723229051217e-114,1
sesheke,change_gradient,col,2 patches 8 px,8.78165469611413,57.44894969303492,1.122633912338862e-25,2,159.31688592556762,1.3297310097702793e-136,1
sesheke,change_gradient,col,window 32 px,35.12661878445652,1.3830839556208547,0.25080389109249535,3,16.725048842894825,2.1206291526225678e-19,1
sesheke,change_gradient,col,window 64 px,70.25323756891304,2.242406187797514,0.10620265316155555,3,1.2813098975157107,0.26187491003752583,1
sesheke,change_gradient,col,window 128 px,140.50647513782607,1.481309611690957,0.22733976652935473,3,1.529543144133627,0.1638518359353845,1
sesheke,change_gradient,col,window 256 px,281.01295027565214,0.04395876174738775,0.9569934213957892,3,0.8066571396671957,0.5644996539025096,1
sesheke,change_gradient,col,window 512 px,562.0259005513043,1.300189308806311,0.27248020524875655,3,1.2578263312955948,0.2732072193978741,1
sesheke,change_gradient,col,warp duplication beat,11.234698313424984,1.9929028791307022,0.1362991905370052,3,1.8416070052978892,0.08685424893493755,1
sesheke,change_gradient,row,encoder patch 4 px,4.390827348057065,3.204526654356861,0.040578104561704395,1,3.204526654356861,0.040578104561704395,1
sesheke,change_gradient,row,2 patches 8 px,8.78165469611413,4.560391898659536,0.010457959679851296,2,3.8824592765081984,0.0037195174867104205,1
sesheke,change_gradient,row,window 32 px,35.12661878445652,1.2408420526962824,0.28914064374361964,3,5.662216539845507,6.8077358019750194e-06,1
sesheke,change_gradient,row,window 64 px,70.25323756891304,4.194754313709317,0.01507444559178792,3,2.0077345398874544,0.06094148744830523,1
sesheke,change_gradient,row,window 128 px,140.50647513782607,5.012854956049376,0.006651885331165392,3,3.274701973287037,0.0031980861606797483,1
sesheke,change_gradient,row,window 256 px,281.01295027565214,1.8547647798451055,0.15648974788885878,3,2.802754470274482,0.0099817217261444,1
sesheke,change_gradient,row,window 512 px,562.0259005513043,1.441855092825134,0.2364886431229071,3,2.4548252896255147,0.022472927654777052,1
sesheke,change_gradient,row,warp duplication beat,11.234698313424984,0.7758891214292817,0.4602943414424435,3,0.8372267451470926,0.5408204716160112,1
sesheke,worldcover_boundary,col,encoder patch 4 px,4.390827348057065,4.956501802545865,0.007037503398905457,1,4.956501802545865,0.007037503398905457,1
sesheke,worldcover_boundary,col,2 patches 8 px,8.78165469611413,0.2536821562299512,0.775938390039387,2,2.605091979387908,0.03391175938347652,1
sesheke,worldcover_boundary,col,window 32 px,35.12661878445652,0.6296160508601699,0.5327963284323264,3,0.6386135493323978,0.6994421477270225,1
