year,scene,n_errors,seasonal_fraction,intermittent_fraction,permanent_fraction,seasonal_share_among_errors,seasonal_share_among_correct,intermittent_share_among_errors,intermittent_share_among_correct,error_rate_seasonal,error_rate_nonseasonal,n_errors_nonseasonal,n_errors_seasonal,eaurc_all[baseline],eaurc_nonseasonal[baseline],eaurc_seasonal[baseline],eaurc_all[E_case],eaurc_nonseasonal[E_case],eaurc_seasonal[E_case],eaurc_all[tile-phase (aligned)],eaurc_nonseasonal[tile-phase (aligned)],eaurc_seasonal[tile-phase (aligned)],eaurc_all[boundary],eaurc_nonseasonal[boundary],eaurc_seasonal[boundary],eaurc_all[E_dist],eaurc_nonseasonal[E_dist],eaurc_seasonal[E_dist],eaurc_all[control],eaurc_nonseasonal[control],eaurc_seasonal[control]
2024,shire_50,123,0.35546875,0.6904296875,0.00390625,0.6666666666666666,0.3129855715871254,0.8617886178861789,0.6670366259711432,0.22527472527472528,0.06212121212121212,41,82,0.0932219406538781,0.025217004764022125,0.17363173505310417,0.09241752850266088,0.02526612819416844,0.18723595383852004,0.05606853168256757,0.0035316721524499433,0.13354204233270525,0.02128239034949287,0.0024564908366266846,0.07316555217455262,0.05536321993925495,0.010252755901670598,0.12735882703453938,0.05083021659867249,0.0032395894315652876,0.12048371301830316
2024,shire_80,188,0.0908203125,0.580078125,0.0,0.22340425531914893,0.061004784688995214,0.9308510638297872,0.5011961722488039,0.45161290322580644,0.15682062298603652,146,42,0.2836444488725171,0.26621468915163304,0.32428186843447415,0.27657677172263817,0.2568734934670735,0.34716565286941126,0.17004819474305352,0.1337279539320276,0.35499390649413065,0.06451626106618977,0.044262673883925144,0.29922018558248165,0.19908774790262582,0.17274062581036034,0.32231865411266886,0.1306234314978372,0.09691919932338894,0.32069744060256117
2024,shire_liwonde,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0166015625,17,0,0.03331426532503726,0.03331426532503726,nan,0.035530429224796996,0.035530429224796996,nan,0.025056110885331898,0.025056110885331898,nan,0.008855680872354155,0.008855680872354155,nan,0.0011547421404747473,0.0011547421404747473,nan,0.00041367199749317,0.00041367199749317,nan
2024,vicfalls_up,23,0.048828125,0.1708984375,0.0419921875,0.391304347826087,0.04095904095904096,0.7391304347826086,0.15784215784215785,0.18,0.014373716632443531,14,9,0.0005288564506625891,0.0001825972681927893,0.047704139451705374,0.00029154553706500227,0.00010951004820476443,0.024071091322603762,0.000521026560205438,0.00022425142840898645,0.03987227493572662,0.0023681481640176532,0.00233194357016514,0.01478199362235388,0.0009673460902841413,0.0004008733687195659,0.07867142853037405,0.0409740556568448,0.02974914086578146,0.22355569313871054
2024,zambezi_20,51,0.376953125,0.5966796875,0.201171875,0.6470588235294118,0.36279547790339156,0.7058823529411765,0.590955806783145,0.08549222797927461,0.02821316614420063,18,33,0.011748518756192825,0.0038494858243818863,0.020605176783089128,0.010481532467936937,0.0012411601827847626,0.030813586684482364,0.004888944318080861,0.0010332278104277781,0.012205700180302356,0.006404305955069509,0.0009677715758494394,0.017429951708877723,0.015489448939535695,0.008163238819296724,0.030372787994726487,0.004625134013057841,0.0006024099619324132,0.014850161995837535
2024,zambezi_50,16,0.130859375,0.31640625,0.185546875,0.375,0.12698412698412698,0.4375,0.314484126984127,0.04477611940298507,0.011235955056179775,10,6,0.00017570252146786145,9.110611183514999e-05,nan,0.00014790681432143367,8.435940530658781e-05,nan,0.00017561638479782402,9.358442068632996e-05,nan,0.000267021373080074,9.771493772883803e-05,nan,0.003595916826476246,0.0037535197933354428,nan,0.0003748394044104003,0.0001498961491591007,nan
2024,zambezi_80,47,0.05078125,0.0498046875,0.0,0.06382978723404255,0.05015353121801433,0.0851063829787234,0.048106448311156604,0.057692307692307696,0.04526748971193416,44,3,0.0024133453168951498,0.0023088762465561523,nan,0.013675033544595677,0.013229821922506482,nan,0.0003569706484781521,0.00037053181633573415,nan,1.1482730701205214e-05,1.2185106303788315e-05,nan,0.00739997193598237,0.007748477094636266,nan,0.031504760138210706,0.03371615286395444,nan
2021,barotse,160,0.556640625,0.65234375,0.001953125,0.45,0.5763888888888888,0.675,0.6481481481481481,0.12631578947368421,0.19383259911894274,88,72,0.09985479004806196,0.14061381979258814,0.061894368186101216,0.1193786927121578,0.1688501693129231,0.08540988824850987,0.02259275549384006,0.03605755795464286,0.013176217241565756,0.015057937158487494,0.024904941048918695,0.009980099089301626,0.07057575699471381,0.08118233257653187,0.06492648658172585,0.04424183053376805,0.04514769610255077,0.043418364330583714
2021,cuando_20,201,0.0185546875,0.0498046875,0.0,0.04477611940298507,0.012150668286755772,0.10945273631840796,0.03523693803159174,0.47368421052631576,0.191044776119403,192,9,0.06473416927155248,0.05952479122444243,0.28673200294717316,0.07444464652799468,0.06198469066050186,0.4382988055975672,0.03688231190200166,0.03537731548499524,0.2399138357342692,0.04965037784075187,0.04799527976238803,0.1896134395360403,0.05331842840762601,0.051371445268912935,0.2066444735175386,0.12918420931691363,0.1297702073021736,0.15483176094631204
2021,cuando_50,282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.275390625,282,0,0.13698783982070886,0.13698783982070886,nan,0.05858801278740094,0.05858801278740094,nan,0.08481448351080578,0.08481448351080578,nan,0.07179986775761882,0.07179986775761882,nan,0.03493169555835839,0.03493169555835839,nan,0.11410195160724274,0.11410195160724274,nan
