scene,date_2021,eaurc_2021[E_case],eaurc_2021[E_dist],eaurc_2021[baseline],eaurc_2021[boundary],eaurc_2021[control],eaurc_2021[tile-phase (aligned)],eaurc_2024[E_case],eaurc_2024[E_dist],eaurc_2024[baseline],eaurc_2024[boundary],eaurc_2024[control],eaurc_2024[tile-phase (aligned)],n_errors_2021,n_errors_2024,water_fraction_pred_2021,water_fraction_ref_2021grid
save_50,2021-8-15,0.00529415775819673,0.004937504526289407,0.003965332582701249,0.014364358595555514,0.08939775202993092,0.0046329381435650414,0.038086253748072035,0.013435147687203754,0.01118717382458453,0.044368354784706326,0.06474167300570195,0.008761932348810526,47,76,0.1142578125,0.115234375
save_80,2021-7-24,0.03490247306104531,0.008869932142712176,0.01957631894939092,0.0005398417721232745,0.02881910113672359,0.0009672035118952905,0.028893022801569697,0.0003835134579546837,0.0066454262914877205,4.4484184364428905e-05,0.00021963344669607087,0.0002978733502590854,46,23,0.0537109375,0.0087890625
shire_20,2021-7-28,0.02605227629373289,0.02518047678115278,0.02245109985703252,0.00661728050822158,0.017739812371805747,0.005917709898173835,0.11145275152484596,0.06442293127273938,0.10818478392009831,0.17665178307296897,0.2067727635200356,0.12875886859110258,80,303,0.1513671875,0.0751953125
shire_50,2021-7-28,0.010781549956695734,0.019755673452211915,0.01568305935205823,0.0022910007169867895,0.004587985164071584,0.0022652760660908937,0.09241752850266088,0.05536321993925495,0.0932219406538781,0.02128239034949287,0.05083021659867249,0.05606853168256757,73,123,0.1416015625,0.07421875
shire_80,2021-7-13,0.02808359176502904,0.013180786462152455,0.05441331452457783,0.003996994207781461,0.024782680135167472,0.006716692949222808,0.27657677172263817,0.19908774790262582,0.2836444488725171,0.06451626106618977,0.1306234314978372,0.17004819474305352,73,188,0.119140625,0.0498046875
shire_liwonde,2021-8-20,,,,,,,0.035530429224796996,0.0011547421404747473,0.03331426532503726,0.008855680872354155,0.00041367199749317,0.025056110885331898,5,17,0.0048828125,0.0
vicfalls_up,2021-7-30,0.00124208236398251,0.0037640129202137756,0.0015044727205510177,0.0038034591763171834,0.07317780092188322,0.0014551560832134138,0.00029154553706500227,0.0009673460902841413,0.0005288564506625891,0.0023681481640176532,0.0409740556568448,0.000521026560205438,37,23,0.078125,0.0576171875
zambezi_20,2021-5-24,0.009330805614336959,0.01296440561585514,0.007457962691985476,0.006202701877429627,0.014068001508151183,0.006140256951647631,0.010481532467936937,0.015489448939535695,0.011748518756192825,0.006404305955069509,0.004625134013057841,0.004888944318080861,64,51,0.390625,0.345703125
zambezi_50,2021-5-9,0.0007673178475426551,0.006883214205668567,0.0007078945288896548,0.0020900730356268704,0.0027682806276774843,0.0009758169266567807,0.00014790681432143367,0.003595916826476246,0.00017570252146786145,0.000267021373080074,0.0003748394044104003,0.00017561638479782402,25,16,0.287109375,0.2666015625
zambezi_80,2021-5-24,0.07117403961021826,0.030096938635447393,0.05190658295315554,0.010979533320348876,0.05180867193714422,0.016557960010664875,0.013675033544595677,0.00739997193598237,0.0024133453168951498,1.1482730701205214e-05,0.031504760138210706,0.0003569706484781521,147,47,0.1435546875,0.0
