window,map,axis,rank,period_px,whitened_power,p_bonferroni,matches,harmonic_of,n_bins,n_strips
sesheke,change_gradient,row,1,4.412021857923498,209.5542628368004,1.3167171933531587e-88,encoder patch 4 px,2 patches 8 px (h=2);window 32 px (h=8);window 64 px (h=16);window 128 px (h=32),1342,1
sesheke,change_gradient,row,2,3.531933508311462,107.19754230054312,3.7363832897728805e-44,,window 32 px (h=10);window 64 px (h=20);window 128 px (h=39);window 128 px (h=40),1342,1
sesheke,change_gradient,row,3,4.416849015317287,93.47427561168125,3.407143440940057e-38,encoder patch 4 px,2 patches 8 px (h=2);window 32 px (h=8);window 64 px (h=16);window 128 px (h=32),1342,1
sesheke,change_gradient,row,4,5.884839650145773,81.62238046565403,4.781928517500527e-33,,window 32 px (h=6);window 64 px (h=12);window 128 px (h=24);window 256 px (h=47);window 256 px (h=48),1342,1
sesheke,change_gradient,row,5,3.528846153846154,58.46100268488967,5.475977351742369e-23,,window 32 px (h=10);window 64 px (h=20);window 128 px (h=40),1342,1
sesheke,change_gradient,row,6,7.55992509363296,41.20660088683699,1.7058982854024562e-15,,window 256 px (h=37),1342,1
sesheke,change_gradient,row,7,6.628899835796389,40.77067929262829,2.6379798603157518e-15,,window 128 px (h=21);window 256 px (h=42);window 256 px (h=43),1342,1
sesheke,change_gradient,row,8,8.833698030634574,34.78466211977223,1.0494595461328462e-12,2 patches 8 px,window 32 px (h=4);window 64 px (h=8);window 128 px (h=16);window 256 px (h=32),1342,1
sesheke,worldcover_boundary,col,1,3.333608587943848,9.253397850882532,0.12854431974773098,,window 64 px (h=21);window 128 px (h=42),1342,1
sesheke,worldcover_boundary,col,2,4.407205240174673,7.991459225444189,0.45405229156604615,encoder patch 4 px,2 patches 8 px (h=2);window 32 px (h=8);window 64 px (h=16);window 128 px (h=32),1342,1
sesheke,worldcover_boundary,col,3,5.477611940298508,6.372351176249307,1.0,,window 64 px (h=13);window 128 px (h=26),1342,1
sesheke,worldcover_boundary,col,4,5.6461538461538465,6.148780532308069,1.0,,window 128 px (h=25);warp duplication beat (h=2),1342,1
sesheke,worldcover_boundary,col,5,3.510434782608696,5.934882364749138,1.0,,window 32 px (h=10);window 64 px (h=20);window 128 px (h=40),1342,1
sesheke,worldcover_boundary,col,6,8.44560669456067,5.5925160918890935,1.0,,window 256 px (h=33),1342,1
sesheke,worldcover_boundary,col,7,10.595800524934385,5.562363788949718,1.0,,window 128 px (h=13);window 256 px (h=26);window 256 px (h=27),1342,1
sesheke,worldcover_boundary,col,8,3.398148148148149,5.481867879430618,1.0,,window 64 px (h=21);window 128 px (h=41);window 128 px (h=42),1342,1
sesheke,worldcover_boundary,row,1,12.27051671732523,12.363615408521419,0.005731952298645924,,window 256 px (h=23);window 512 px (h=45);window 512 px (h=46),1342,1
sesheke,worldcover_boundary,row,2,16.019841269841272,9.906834463923845,0.06687579764787634,,window 512 px (h=35),1342,1
sesheke,worldcover_boundary,row,3,12.196374622356496,6.7739168456919705,1.0,,window 256 px (h=23);window 512 px (h=46);window 512 px (h=47),1342,1
sesheke,worldcover_boundary,row,4,6.288161993769471,6.763434978835536,1.0,,window 64 px (h=11);window 128 px (h=22);window 256 px (h=44);window 256 px (h=45),1342,1
sesheke,worldcover_boundary,row,5,3.095858895705522,6.480409734501353,1.0,,window 64 px (h=23);window 128 px (h=45);window 128 px (h=46),1342,1
sesheke,worldcover_boundary,row,6,38.44761904761905,6.355978373467182,1.0,,,1342,1
sesheke,worldcover_boundary,row,7,3.4563356164383565,6.292066135847479,1.0,,window 32 px (h=10);window 64 px (h=20);window 128 px (h=40);window 128 px (h=41),1342,1
sesheke,worldcover_boundary,row,8,3.1837539432176656,6.220769880143682,1.0,,window 32 px (h=11);window 64 px (h=22);window 128 px (h=44);window 128 px (h=45),1342,1
savuti_north,class_boundary,col,1,5.884671532846715,344.41642942542023,3.539566059782017e-147,,window 32 px (h=6);window 64 px (h=12);window 128 px (h=24);window 256 px (h=48),1340,1
