scene,n_errors,signal,aurc,eaurc,diff_vs_baseline,diff_ci_lo,diff_ci_hi,frac_better
save_50,76,baseline,0.015037461347837901,0.01217623748026693,,,,
save_50,76,E_case,0.040947477615643005,0.038086253748072035,0.025910016267805105,0.008258079134878943,0.04533317664202212,0.0
save_50,76,tile-phase (aligned),0.011623156216381497,0.008761932348810526,-0.003414305131456404,-0.008436351599830751,0.0002901059257323224,0.962
save_50,76,"tile-phase (unaligned, exp11)",0.015301925301448024,0.012440701433877054,0.0002644639536101244,-0.0027094110018455893,0.0030107158202008154,0.301
save_50,76,E_dist,0.016296371554774723,0.013435147687203754,0.0012589102069368238,-0.0053156771435749215,0.009249515893148683,0.309
save_50,76,control,0.06760289687327292,0.06474167300570195,0.05256543552543502,0.021211145683399244,0.08899616864063196,0.0
save_80,23,baseline,0.006976981394996912,0.006711860828118699,,,,
save_80,23,E_case,0.02915814336844791,0.028893022801569697,0.022181161973450998,0.0014729337033895092,0.05339916614745195,0.003
save_80,23,tile-phase (aligned),0.0005629939171372986,0.0002978733502590854,-0.006413987477859613,-0.01617995934123702,-0.0014881546675087733,1.0
save_80,23,"tile-phase (unaligned, exp11)",0.0012589098306782802,0.000993789263800067,-0.005718071564318632,-0.015534285493650563,-0.0008469409856413999,0.989
save_80,23,E_dist,0.000648634024832897,0.0003835134579546837,-0.006328347370164015,-0.0162960837757521,-0.0012457783031905687,0.999
save_80,23,control,0.0004847540135742841,0.00021963344669607087,-0.006492227381422628,-0.01655127743567583,-0.0014725393295678972,1.0
shire_20,303,baseline,0.1509473118871667,0.10192627957883804,,,,
shire_20,303,E_case,0.16070356616744913,0.11168253385912047,0.009756254280282428,-0.07619262516817912,0.022820305520200125,0.835
shire_20,303,tile-phase (aligned),0.1766512549482438,0.12763022263991514,0.025703943061077095,-0.05151284467359856,0.03595945969673468,0.67
shire_20,303,"tile-phase (unaligned, exp11)",0.208264630998329,0.15924359869000035,0.05731731911116231,-0.004850458720853289,0.07573047419164754,0.052
shire_20,303,E_dist,0.11344396358106804,0.06442293127273938,-0.037503348306098666,-0.12066011429734365,-0.02862073264295417,1.0
shire_20,303,control,0.25579379582836426,0.2067727635200356,0.10484648394119755,-0.009487130683254371,0.14607324774361571,0.043
shire_50,123,baseline,0.0861344736637874,0.07855422174095512,,,,
shire_50,123,E_case,0.09999778042549316,0.09241752850266088,0.01386330676170576,-0.022589400989597157,0.035078008119309646,0.44
shire_50,123,tile-phase (aligned),0.05911488976486538,0.0515346378420331,-0.027019583898922027,-0.05742670511029828,-0.011246150040892024,1.0
shire_50,123,"tile-phase (unaligned, exp11)",0.08330277769450864,0.07572252577167636,-0.0028316959692787635,-0.023906500055194076,0.015806647644994114,0.632
shire_50,123,E_dist,0.06294347186208724,0.05536321993925495,-0.023191001801700174,-0.061334496853239974,-0.006313511760930537,1.0
shire_50,123,control,0.05841046852150478,0.05083021659867249,-0.027724005142282633,-0.06681992168959618,-0.011875098317159855,0.999
shire_80,188,baseline,0.29574299005315646,0.2776620772690103,,,,
shire_80,188,E_case,0.2942511751900035,0.27617026240585735,-0.0014918148631529737,-0.03211374889776156,0.022902666510436657,0.614
shire_80,188,tile-phase (aligned),0.19015214322192014,0.17207123043777398,-0.10559084683123635,-0.15178978718603067,-0.06731965981709889,1.0
shire_80,188,"tile-phase (unaligned, exp11)",0.289389511843532,0.27130859905938587,-0.006353478209624452,-0.03912193701977318,0.0025049907701765735,0.958
shire_80,188,E_dist,0.21716866068677199,0.19908774790262582,-0.0785743293663845,-0.12339379101306866,-0.04152819343660149,1.0
shire_80,188,control,0.14870434428198337,0.1306234314978372,-0.14703864577117312,-0.19643611019898113,-0.10315287483067116,1.0
shire_liwonde,17,baseline,0.03681235144883183,0.03666567294755423,,,,
shire_liwonde,17,E_case,0.035677107726074596,0.035530429224796996,-0.001135243722757237,-0.008657077260316217,0.056684911255968105,0.2906178489702517
shire_liwonde,17,tile-phase (aligned),0.025202789386609498,0.025056110885331898,-0.011609562062222335,-0.009806674332003119,0.026616617253224083,0.34439359267734554
shire_liwonde,17,"tile-phase (unaligned, exp11)",0.022584118641862716,0.022437440140585116,-0.014228232806969117,-0.013066969686821599,0.021400991635138693,0.3901601830663616
shire_liwonde,17,E_dist,0.0013014206417523476,0.0011547421404747473,-0.03551093080707948,-0.05379061915446244,-0.0023724809823763423,1.0
shire_liwonde,17,control,0.0005603504987707703,0.00041367199749317,-0.036252000950061064,-0.0564067941970913,-0.002076317172966759,1.0
vicfalls_up,23,baseline,0.0007939770175408023,0.0005288564506625891,,,,
vicfalls_up,23,E_case,0.0005566661039432155,0.00029154553706500227,-0.00023731091359758687,-0.0007529640104768492,1.3108369908772086e-05,0.966
vicfalls_up,23,tile-phase (aligned),0.0007861471270836512,0.000521026560205438,-7.829890457151153e-06,-0.0003027255329017979,0.0002624996355889627,0.562
vicfalls_up,23,"tile-phase (unaligned, exp11)",0.0011161265652477677,0.0008510059983695545,0.0003221495477069654,-5.3678487219183865e-05,0.0009811586460813173,0.065
vicfalls_up,23,E_dist,0.0012324666571623545,0.0009673460902841413,0.00043848963962155214,-9.63035326408479e-05,0.00123660180645909,0.064
vicfalls_up,23,control,0.041239176223723015,0.0409740556568448,0.04044519920618221,0.013403844443251647,0.07131567668080521,0.0
zambezi_20,51,baseline,0.015264228047323549,0.013978545289716003,,,,
zambezi_20,51,E_case,0.011767215225544483,0.010481532467936937,-0.0034970128217790657,-0.010158461217718953,0.001940181768058514,0.852
zambezi_20,51,tile-phase (aligned),0.006174627075688406,0.004888944318080861,-0.009089600971635142,-0.019322076931487374,-0.0015220704021187044,0.996
zambezi_20,51,"tile-phase (unaligned, exp11)",0.0240114502044371,0.022725767446829553,0.00874722215711355,0.0029390423119557796,0.011472616237777157,0.0
zambezi_20,51,E_dist,0.01677513169714324,0.015489448939535695,0.001510903649819692,-0.004725683729746288,0.009534628296964321,0.276
zambezi_20,51,control,0.005910816770665386,0.004625134013057841,-0.009353411276658162,-0.02083355306837866,-0.0012808379541130101,0.994
zambezi_50,16,baseline,0.0003060405222502061,0.00017570252146786145,,,,
zambezi_50,16,E_case,0.00027824481510377834,0.00014790681432143367,-2.7795707146427786e-05,-0.00015413757700945784,6.714384351179885e-05,0.732
zambezi_50,16,tile-phase (aligned),0.0003059543855801687,0.00017561638479782402,-8.6136670037428e-08,-0.00015803329044695915,0.0001217809579644916,0.507
zambezi_50,16,"tile-phase (unaligned, exp11)",0.00030066883764439387,0.0001703308368620492,-5.371684605812253e-06,-0.00014818405490414312,0.00010260435038401212,0.536
zambezi_50,16,E_dist,0.0037262548272585906,0.003595916826476246,0.003420214305008385,0.000897147646026436,0.0065392390842156835,0.0
zambezi_50,16,control,0.000505177405192745,0.0003748394044104003,0.00019913688294253886,9.50067495570804e-06,0.00047680854208949743,0.022
zambezi_80,47,baseline,0.0035055782697734736,0.0024133453168951498,,,,
zambezi_80,47,E_case,0.014767266497474,0.013675033544595677,0.011261688227700527,0.005758547695809426,0.017754669904843735,0.0
zambezi_80,47,tile-phase (aligned),0.001449203601356476,0.0003569706484781521,-0.0020563746684169977,-0.0037287773809367396,-0.0008375794689605442,1.0
zambezi_80,47,"tile-phase (unaligned, exp11)",0.002768534227282368,0.001676301274404044,-0.0007370440424911058,-0.0020031191355414997,0.0002406607432364752,0.912
zambezi_80,47,E_dist,0.008492204888860693,0.00739997193598237,0.00498662661908722,0.0012214937751548944,0.009778784148816382,0.001
zambezi_80,47,control,0.03259699309108903,0.031504760138210706,0.029091414821315557,0.009693373827946267,0.051904416808778296,0.0
