part,unit,n_patches,n_errors,signal,aurc,eaurc,mean_value,gain_vs_confidence,gain_vs_tile-phase,gain_vs_boundary,gain_vs_control,bank_scenes,primary_used,spearman_vs_confidence,spearman_vs_tile-phase,spearman_vs_boundary,spearman_vs_control,head_acc,n_tiles_scored,W/L_vs_confidence,sign_p_vs_confidence,W/L_vs_tile-phase,sign_p_vs_tile-phase,W/L_vs_boundary,sign_p_vs_boundary,W/L_vs_control,sign_p_vs_control
A,cuando_80,1024,61,"contradiction (AnySat context neighbours, secondary)",0.014429816747179485,0.012590107838190968,0.0732421875,-0.00724989110682776,-0.00940799984481217,-0.007452040975254393,-0.0051567497483979135,28,contradiction (AnySat local neighbours),0.3530619876688127,0.422689131321351,0.550912902314037,0.396605897940678,,,,,,,,,,
A,cuando_80,1024,61,combination conf+AnySat contradiction (prereg),0.003823692756222934,0.0019839838472344175,0.5,0.0033562328841287904,0.0011981241461443796,0.0031540830157021573,0.005449374242558636,28,contradiction (AnySat local neighbours),0.8952137081276427,0.7847934936124022,0.5413423719237681,0.3546135483208559,,,,,,,,,,
A,cuando_80,1024,61,weighted 0.75 conf + 0.25 contradiction (secondary),0.004951215969438082,0.0031115070604495654,0.5,0.0022287096709136425,7.060093292923179e-05,0.0020265598024870094,0.004321851029343489,28,contradiction (AnySat local neighbours),0.977189754214065,0.8304066545142432,0.5476215682950241,0.34087792060892114,,,,,,,,,,
A,delta,1024,29,confidence (baseline),0.02335829384562752,0.02293960987981063,-11.053823471069336,0.0,-0.02250326409235948,-0.022935674756807953,-0.02288752594451045,24,contradiction (AnySat local neighbours),,,,,,,,,,,,,,
A,delta,1024,29,tile-phase (aligned),0.00085502975326804,0.00043634578745114984,0.02111836928675026,0.02250326409235948,0.0,-0.0004324106644484713,-0.0003842618521509693,24,contradiction (AnySat local neighbours),,,,,,,,,,,,,,
A,delta,1024,29,boundary indicator,0.00042261908881956867,3.9351230026785674e-06,0.039794921875,0.022935674756807953,0.0004324106644484713,0.0,4.814881229750197e-05,24,contradiction (AnySat local neighbours),,,,,,,,,,,,,,
A,delta,1024,29,control NDWI gradient,0.00047076790111707064,5.2083935300180535e-05,0.02472622108083688,0.02288752594451045,0.0003842618521509693,-4.814881229750197e-05,0.0,24,contradiction (AnySat local neighbours),,,,,,,,,,,,,,
A,delta,1024,29,constant score,0.0283203125,0.02790162853418311,0.0,-0.004962018654372478,-0.027465282746731958,-0.02789769341118043,-0.02784954459888293,24,contradiction (AnySat local neighbours),,,,,,,,,,,,,,
A,delta,1024,29,control S2 patch variance,0.0008827676116018913,0.0004640836457850012,67.07921421441236,0.022475526234025628,-2.7737858333851378e-05,-0.00046014852278232265,-0.0004119997104848207,24,contradiction (AnySat local neighbours),,,,,,,,,,,,,,
A,delta,1024,29,control NDWI level,0.0007124480195372512,0.00029376405372036113,-0.46273140906961513,0.02264584582609027,0.00014258173373078871,-0.00028982893071768256,-0.0002416801184201806,24,contradiction (AnySat local neighbours),,,,,,,,,,,,,,
A,delta,1024,29,contradiction (OlmoEarth neighbours),0.01703393822953676,0.01661525426371987,0.020751953125,0.006324355616090762,-0.016178908476268718,-0.01661131914071719,-0.01656317032841969,24,contradiction (AnySat local neighbours),0.42882715408207256,0.4887227478184095,0.4589723707516844,0.45114585103582194,,,,,,,,,,
A,delta,1024,29,entropy (OlmoEarth neighbours),0.017006270592092428,0.016587586626275536,0.057517324441530626,0.006352023253535094,-0.016151240838824386,-0.01658365150327286,-0.016535502690975357,24,contradiction (AnySat local neighbours),0.4286954430298193,0.48875289285889506,0.459108254146558,0.4511168245135753,,,,,,,,,,
A,delta,1024,29,contradiction (pixel-statistics neighbours),0.008677205630380798,0.008258521664563909,0.0673828125,0.014681088215246722,-0.007822175877112758,-0.00825458654156123,-0.008206437729263728,24,contradiction (AnySat local neighbours),0.11744458610102082,0.1508608933240035,0.19101625042406625,-0.1280177751668568,,,,,,,,,,
A,delta,1024,29,contradiction (AnySat local neighbours),0.021348802413709067,0.020930118447892176,0.158721923828125,0.0020094914319184545,-0.020493772660441025,-0.020926183324889498,-0.020878034512591997,24,contradiction (AnySat local neighbours),0.11499017273737326,0.08305864892822809,0.08000721071638649,-0.13059808589164265,,,,,,,,,,
A,delta,1024,29,entropy (AnySat local neighbours),0.028117233526263365,0.027698549560446473,0.3975462371461461,-0.004758939680635843,-0.027262203772995323,-0.027694614437443796,-0.027646465625146294,24,contradiction (AnySat local neighbours),0.08873177701909228,0.052684757325028114,0.024825989871405996,-0.1642526664731931,,,,,,,,,,
A,delta,1024,29,"contradiction (AnySat context neighbours, secondary)",0.0004186839658168901,0.0,0.233001708984375,0.02293960987981063,0.00043634578745114984,3.9351230026785674e-06,5.2083935300180535e-05,24,contradiction (AnySat local neighbours),-0.1173041399615579,0.04401252450614014,0.3389804793224137,0.2567844981065724,,,,,,,,,,
A,delta,1024,29,combination conf+AnySat contradiction (prereg),0.030142972474874234,0.029724288509057343,0.5,-0.006784678629246713,-0.029287942721606192,-0.029720353386054665,-0.029672204573757164,24,contradiction (AnySat local neighbours),0.7524160803967656,0.5958270144296614,0.11522270069931101,-0.01798686639586687,,,,,,,,,,
A,delta,1024,29,weighted 0.75 conf + 0.25 contradiction (secondary),0.02861317151460004,0.028194487548783148,0.5,-0.005254877668972518,-0.027758141761331998,-0.02819055242578047,-0.02814240361348297,24,contradiction (AnySat local neighbours),0.9579308546473979,0.7623492509658152,0.1162017414832848,0.044013296282675335,,,,,,,,,,
A,kafue_20,1024,78,confidence (baseline),0.01650665754542609,0.013491798898338393,-9.231712341308594,0.0,-0.008442677327672676,-0.003622877283200404,0.012603874900032282,28,contradiction (AnySat local neighbours),,,,,,,,,,,,,,
A,kafue_20,1024,78,tile-phase (aligned),0.008063980217753416,0.005049121570665717,0.07140306611650617,0.008442677327672676,0.0,0.004819800044472271,0.02104655222770496,28,contradiction (AnySat local neighbours),,,,,,,,,,,,,,
A,kafue_20,1024,78,boundary indicator,0.012883780262225687,0.009868921615137988,0.154052734375,0.003622877283200404,-0.004819800044472271,0.0,0.016226752183232687,28,contradiction (AnySat local neighbours),,,,,,,,,,,,,,
A,kafue_20,1024,78,control NDWI gradient,0.029110532445458373,0.026095673798370675,0.0279532212642946,-0.012603874900032282,-0.02104655222770496,-0.016226752183232687,0.0,28,contradiction (AnySat local neighbours),,,,,,,,,,,,,,
A,kafue_20,1024,78,constant score,0.076171875,0.0731570163529123,0.0,-0.05966521745457391,-0.06810789478224659,-0.06328809473777432,-0.04706134255454163,28,contradiction (AnySat local neighbours),,,,,,,,,,,,,,
A,kafue_20,1024,78,control S2 patch variance,0.033245577718983746,0.030230719071896048,118.45838843716017,-0.016738920173557655,-0.02518159750123033,-0.02036179745675806,-0.004135045273525373,28,contradiction (AnySat local neighbours),,,,,,,,,,,,,,
A,kafue_20,1024,78,control NDWI level,0.03805425411283495,0.035039395465747254,-0.16407070375682004,-0.02154759656740886,-0.029990273895081538,-0.025170473850609266,-0.00894372166737658,28,contradiction (AnySat local neighbours),,,,,,,,,,,,,,
A,kafue_20,1024,78,contradiction (OlmoEarth neighbours),0.004299920663382977,0.0012850620162952776,0.073760986328125,0.012206736882043115,0.0037640595543704395,0.00858385959884271,0.024810611782075397,28,contradiction (AnySat local neighbours),0.5235837370755436,0.6539216404366525,0.5839537872209652,0.46458634457659065,,,,,,,,,,
A,kafue_20,1024,78,entropy (OlmoEarth neighbours),0.01725140539522477,0.014236546748137072,0.13523540845966894,-0.0007447478497986798,-0.009187425177471356,-0.004367625132999084,0.011859127050233603,28,contradiction (AnySat local neighbours),0.486781911520915,0.6307026639803823,0.5435497979913495,0.49138901705766375,,,,,,,,,,
